"Engineering Mathematics I","Chemistry","Communication Techniques","Programming in C","Basic Electrical Engineering","Mechanical Workshop","Engineering
Mathematics II",Physics,"Engineering
Drawing","Object Oriented
Programming in C++","Applied
Mechanics I","Thermal 
Science","Engineering 
Mathematics III","Data Structure 
and Algorithms","Electrical
Engineering ",Network Theory,"Electronics
Devices and ",Logic Circuits,"Engineering 
Mathematics IV",Instrumentation,"Database Management 
Systems","Programming
Technology",Microprocessors,Project I,"Numerical
Methods","Probability and 
Statistics","Operating
Systems","Computer 
Architecture","Computer 
Graphics","Theory of
Computation",Simulation and Modeling,Data Communication,Object Oriented Software,Embedded Systems,Project II,Elective I,"Artificial
Intelligence","Engineering
Economics",Computer Network,"Image Processing and
Pattern Recognition","ICT Project 
Management",Elective II,"Digital Signal 
Analysis
Processing","Social and
Professional 
Issues in IT","Organization and
Management","Information
System",Project III,Elective III
2,3,3,3,3.3,3.7,4,4,2,2.7,2,3.3,3.7,3.7,3.7,3.7,4,2.7,2.7,2.7,4,3.7,4,3.7,3.7,3.3,3.3,3.3,3,3.3,3.7,2.7,3,2,2.7,3.3,3.3,3,2.7,3.3,3,2.7,4,3,3.7,3.3,4,4
4,4,3,3.7,4,3.7,2.7,2,2.7,0,2,0,2,2.7,2,3.7,2.7,2.7,2.7,3.3,3.7,3.3,4,3.3,0,3,2.7,2.7,0,2.7,3.7,3,3.7,2.7,4,3.7,3,3,2.7,2.7,3.7,4,3.7,2.7,3.3,3.3,4,3.7
2.7,3.3,3,1.7,2,4,2.7,3.7,3.3,0,3,4,3,3.7,4,4,3.7,4,0,2.7,0,2.7,2.7,3.3,3.3,3,3.3,3.7,2.7,2,4,3.3,3.7,4,3.7,3.7,3,3.3,0,3.3,2.7,3.7,3.7,3,3.7,3.3,3.7,4
2.7,2.7,3.7,2.7,0,3.7,0,0,2.7,0,0,3,0,2,2.7,1.7,1.7,1.7,2.7,3,4,3.3,4,4,3.3,2.7,2.7,1.7,0,0,3,2.7,2,3,3.7,3.7,4,4,4,3.7,4,4,3.7,3,3.7,3.3,4,3.7
2.7,3,3,1.7,2.7,3.7,3.7,4,2.7,3.7,2.7,3,3.3,4,3.7,4,4,3,3.7,4,4,4,4,3.3,4,4,4,4,3.7,3.3,2.7,2.7,2.7,0,3.3,3.7,2.7,3.3,2.7,2,3,3.7,3.3,3.7,3.3,4,4,3.7
4,4,4,3,3.7,4,2.7,0,3.7,0,2.7,4,4,4,3.3,3.7,4,1.7,3.3,4,4,3.7,3.7,3.7,4,4,4,4,3.7,3,4,2.7,4,4,4,3.7,2.7,2.7,0,2,2.7,3.3,3.7,3.7,3.3,3.7,4,4
4,4,4,3.3,4,3.7,0,3.3,2,0,0,3.3,3,3.3,3,3.7,2.7,2.7,2,4,3.7,4,4,3.3,2,3.7,3,2.7,2,3,4,3.7,4,0,4,4,3.7,3.3,3,3.3,3.7,4,2.7,3,3,3,3.7,3
3.3,3,3.3,0,2.7,3.7,2.7,3.3,3,3,0,0,2.7,2.7,2.7,3,0,2,2,3.3,3,2.7,2,3.7,2,0,0,3,2,2.7,4,3.7,4,4,4,4,3,1.3,0,2.7,2.7,4,3.3,2.7,3,2.7,3.3,3.3
0,3.3,0,3.7,3.3,4,2.7,3.7,3.7,3.7,1.7,3.3,3.7,3.7,3.7,4,3.7,4,2.7,3.3,3,2,2.7,4,4,3.7,4,3.7,4,3.7,3.7,2,3.3,2,3.3,3.3,4,3.3,3,2.7,3,4,4,3,4,4,4,4
2.7,2.7,1.7,2.7,2.7,4,0,0,3,0,0,0,2.7,0,2,2.7,0,2.7,3.7,4,3.3,3.3,3,4,2.7,0,0,3,2.7,0,1.7,0,2.7,0,4,3.3,2.7,3.7,4,2.7,3.3,3.7,2.7,3.3,4,3.3,4,3
0,2.7,4,3.3,0,4,3,4,0,0,2.7,0,4,2.7,3,4,3.7,3.7,3,3.7,4,2.7,3,4,3.3,3.7,4,3.3,3,4,0,0,2.7,0,4,3.7,2.7,3.3,0,0,2.7,3.7,3.3,3.3,3.7,3.7,4,4
2.7,3.7,3.3,0,3.7,4,0,0,2,0,0,0,3.3,0,2.7,3.7,3,4,3.7,3.3,3.7,3.7,2.7,3.7,4,2.7,4,2.7,2.7,3.7,2.7,2.7,2.7,3.3,4,4,3,0,0,0,2,4,3.7,3.3,3.7,4,4,4
0,3.3,4,4,3,4,3.7,3.7,3,2.7,0,2.7,3.7,0,2.7,3.7,0,3.3,3,3.3,3.7,3,2.7,3.7,2.7,3.7,3.7,2,1.7,3,2.7,3.7,4,3.3,4,4,2.7,3.3,0,2,2.7,3.3,2.7,3.3,3.7,3.3,3.7,4
3.7,3,3.7,2.7,4,4,2,3.7,2.7,0,0,2.7,2.7,0,3.7,4,3,3.3,3,0,3,0,0,4,3.3,0,3.3,2.7,2.7,3.7,0,4,3,4,4,4,0,0,0,0,0,4,3,3.3,3.3,3.3,3.7,3.7
2,2.7,1.3,2.7,2.7,4,2.7,3,0,2.7,0,0,3.3,3.7,2.7,3,3,3.3,2,2,0,0,0,3.7,0,0,0,0,0,0,2,2.7,0,0,4,3.3,3,2.7,0,2,2.7,4,3,3.3,3.7,3.3,3.3,3
2.7,2.7,2,3.3,3,4,2,0,3.7,0,0,0,0,3.7,1.7,2,0,2.7,4,3.3,4,4,3.3,4,2.7,0,0,0,0,2.7,0,2.7,2,2.7,4,4,4,4,4,4,4,4,3.3,3.7,4,3.3,3.7,4
0,0,3,2.7,0,4,4,4,4,4,3.7,3.7,4,3.7,3.7,3.7,4,4,0,2,2.7,3,0,3.7,4,4,4,4,4,4,0,0,0,0,3,3.7,2.7,2.7,2,2,2.7,2.7,4,4,4,4,4,4
2.7,4,4,3.7,3.7,4,2.7,3.7,2,0,2.7,0,3.7,4,0,3.7,2.7,2.7,3.7,4,3.7,4,2.7,4,0,2.7,3,0,3,2.7,3.7,4,4,4,4,4,2.7,2.7,2.7,0,2.7,4,3,3.7,3,2.7,4,2.7
2,3.3,2.7,2.7,4,4,2.7,3.7,2.7,2.7,0,3,3.7,4,3.3,4,3.7,2,2,2,3.7,2,0,3,2.7,0,3,0,3.7,2.7,0,2.7,2,0,4,3.7,3.3,4,4,3.7,3.7,4,3.7,3.7,3.3,3.7,4,4
3.7,2.7,1.7,4,4,4,2.7,4,3.3,2.7,2.7,3.7,4,4,4,4,4,2.7,2.7,0,2,3.7,0,3.7,2.7,3.3,4,4,3.7,4,0,3.3,2.7,2.7,3.7,3.3,3,2.7,2,2.7,2.7,3.7,4,4,3.7,4,3.7,4
3.7,4,3,3.3,4,4,0,0,4,0,0,2.7,0,2.7,0,2.7,2.7,2.7,0,0,0,0,0,4,0,2.7,3,2.7,2.7,2,2.7,2.7,2,0,3.7,3.7,4,4,4,4,4,4,3.7,3.7,3,3.3,3.7,3
2.7,3.7,3,4,3.3,4,2.7,4,3.7,2.7,2.7,3.3,3.3,2,3.3,4,4,3.3,1.7,1.7,3,2.7,1.7,4,4,4,4,3.3,4,4,0,2,1.7,0,4,4,4,3.7,2.7,3,3.7,4,4,4,3.7,4,4,3.3
3,3.7,3,3.3,4,4,4,4,3.3,0,3.3,0,3.3,3,3,3.7,3.3,3,3.7,3,3.7,4,2.7,4,4,4,3.7,3.3,4,4,2.7,4,3.7,3,4,3.7,4,3,2.7,3,3.7,4,4,4,4,4,4,3.3
3.3,3.3,3,3.7,3.7,4,3.7,2.7,4,2.7,2,3,3,0,3,3,3.7,0,3.7,2.7,2.7,3.3,2.7,4,3.3,3.7,4,3.3,3.7,4,2.7,4,3.7,0,4,3.7,3,2.7,0,2.7,2.7,4,4,4,4,4,4,3.3
2.7,4,2.7,3.3,3,4,2.7,0,3,0,2,0,1.7,0,0,2.7,0,0,3.3,2.7,3.3,3.7,2.7,4,2.7,0,2,0,3.3,2.7,2.7,3.7,4,3,4,3.7,3.3,2,2,2,2,4,3.3,3.3,3,2.7,3.7,3.3
2.7,2,2,3.3,2.7,4,2.7,2.7,3,0,0,0,3.3,0,2.7,0,0,0,0,0,0,0,0,3.7,2.7,2,0,0,2.7,3.7,0,0,1.7,2,2.7,3.3,3.7,3.7,2.7,3.3,3.7,4,4,3.7,3.7,3.3,4,3.3
3.3,2.7,3,2.7,4,4,3.7,2.7,3.3,2,2,2.7,2.7,2,3.3,3.3,4,3,0,2.7,3.7,2.7,0,4,3.3,2.7,3.3,3.7,3.7,3.7,2.7,3,0,0,3.7,3.7,4,3.7,2.7,3.7,3.7,3.7,3.7,3.7,3.3,3.3,3.7,3.3
2,2.7,3,2.7,2.7,4,2,1.7,2,2,0,0,3.7,3,3.3,3,4,3.3,2.7,3,3.3,3,2.7,4,3.7,4,3.3,4,3.7,4,3.7,3.7,2.7,3.7,3.3,3.7,3.7,2.7,0,2.7,3.7,3.7,3.7,3.7,3.3,3.3,3.7,3
2.7,2.7,3,3,3.7,4,2.7,0,3.3,2.7,3,0,3,3,0,3.7,1.7,3,3,2,3.7,4,2.7,4,2.7,3,2,3.3,0,4,3.3,4,3.7,3,3.3,3.7,2.7,2.7,0,2.7,3.3,3,3.3,3,2.7,2.7,3.7,3.3
3.3,2.7,3.7,0,3.7,4,2.7,0,3,0,0,0,0,2.7,1.7,2.7,0,0,2.7,0,2,2,2.7,3.7,0,2,2,1.7,0,2.7,1.7,2.7,2.7,0,3.7,4,2.7,2.7,2.7,2.7,3.3,2.7,2.7,3,3,2.7,3.7,3
0,2,2.7,0,2.7,4,2.7,0,2.7,3.3,0,0,1.7,1.7,0,2.7,0,2,2.7,2,2.7,2,2.7,3.7,2,2.7,0,2.7,2.7,2,0,0,0,0,2.7,4,2.7,2,3.7,2.7,3.7,3,2.7,2.7,2.7,2.7,3.7,3.7
0,0,1.3,0,2.7,4,2.7,0,2,2.7,0,2.7,0,3,2,3,3.3,2.7,0,0,0,2,2.7,3.3,0,2,1.7,2.7,0,0,0,0,3.3,0,2,4,3.7,2.7,3.7,4,4,4,2.7,3,3,2.7,3.7,3.3
4,4,4,4,4,4,4,4,4,4,3.7,3.7,4,4,4,4,4,3.7,0,0,0,0,2.7,3.3,4,4,4,4,4,3.7,0,0,3,0,3,3.7,3.3,3,2,4,3.7,3.3,4,4,4,4,4,4
3.7,3.7,2,2,4,4,3.3,4,2,3.3,3,3.7,3.7,3.3,2,3.3,2.7,2.7,4,4,4,4,4,4,3.7,3.7,2,2.7,3.3,2.7,4,3.7,4,4,4,4,4,3.7,4,4,4,4,3.3,3.3,3.3,3.7,3.7,4
2,3.7,4,4,2.7,4,2.7,3,3.7,4,0,0,2,4,2.7,2.7,3,3,3.3,0,0,2.7,3,4,2.7,2.7,4,3.3,3.7,3.3,3,2.7,3,2.7,3,4,2.7,3,2,2.7,4,3.3,4,4,4,4,4,4
0,3.3,2.7,0,1.7,4,0,2.7,2.7,0,0,0,0,0,0,2.7,0,1.3,3.7,3,2.7,2.7,2,3.7,2.7,0,0,2.7,0,0,2,1.7,0,1.7,2,3.7,2,1.7,2,0,3.3,2.7,3,3.3,3,2.7,3.7,3.3
3.3,0,1.7,0,3,4,3.7,0,2.7,0,0,0,2.7,2.7,2,3,2,1.7,2,0,2.7,0,1.3,3.7,2.7,0,0,0,0,2,2,0,0,0,3.7,4,3.3,2.7,2.7,0,3.7,3,2.7,3,3,2.7,3.7,2.7
2.7,3.7,3,3,4,4,2,2.7,0,3,3,0,2,2.7,2,3,1.7,2,2.7,0,0,0,2,3.3,2.7,0,2.7,2,2,2.7,0,0,0,0,2.7,4,2.7,2,0,0,3.7,3,3.3,3.7,3,3.3,4,3.7
2,2,1.7,0,2,4,0,0,3,2.7,0,0,2.7,2.7,0,2.7,2.7,0,0,1.7,2.7,2.7,0,4,0,0,2.7,0,3,0,2.7,0,3,1.7,2.7,4,4,3,4,3.7,4,3.7,3.3,3,2.7,2.7,3.7,3
2.7,4,3.7,2.7,3.7,4,0,2.7,2.7,2.7,0,0,2,3.3,2.7,2.7,2.7,2,1.7,2,3.7,3,2.7,4,3.7,4,4,3,2.7,3.7,2.7,0,2,0,2.7,4,4,3,4,4,4,4,3.7,3.7,3,3.7,3.7,3.7
4,4,3.3,2.7,4,4,3.7,3.3,4,3.3,4,3.3,4,3.7,3.3,4,4,3.3,1.7,2.7,3.3,2.7,3.3,3.7,4,3,4,3.7,3.3,3.7,3.7,2.7,3,3,3.3,3.7,3.7,2,3.3,4,4,3.7,4,3.7,3,3.7,4,4
3,3,2.7,2.7,3.7,4,2.7,0,3.3,2.7,0,2.7,3,3,2,3,2.7,3,4,0,3,3.3,4,4,2,0,2.7,3,2.7,2.7,4,2.7,3.7,2,4,4,3,1.7,2.7,2,3.7,3,2.7,3.7,3,3,4,4
2.7,2.7,3.7,0,3,4,2.7,0,2.7,2.7,0,0,0,3.3,2,3,2,2,0,2,2.7,2,2.7,3.7,2,2.7,2,2.7,2.7,2.7,3,2.7,2.7,3.7,3.7,4,3,2.7,2.7,3.3,3.7,3.3,2.7,3,3,3,3.7,4
0,0,3,0,1.7,4,0,2.7,3.7,0,0,0,2,3.3,0,0,0,1.7,3,0,0,0,2,3.7,0,0,2,1.7,0,2.7,0,2.7,3,2,2.7,3.7,3.3,2.7,3,4,4,3.3,3.3,3,2.7,3,3.7,4
3.3,2.7,1.7,2,4,4,3.7,0,4,2.7,3.3,0,3.3,3,2.7,3.7,3,3,0,0,0,2,2,3.7,3,3,2.7,3,3.3,3.3,2.7,0,2.7,0,2,4,3.7,3,3.3,4,3.7,3.7,3,3.3,3.3,3.7,3.7,3.7
2.7,2.7,3.3,2.7,3.7,4,4,4,3.7,3.3,4,2.7,3.7,3.7,3.7,3.7,3.3,3,2.7,2.7,0,2.7,2.7,3.7,3.7,3.3,3,3,3.3,4,3.7,0,3.3,2.7,3.7,4,3.3,2.7,3.7,3.7,3.7,3.7,3.3,3.7,3,3.3,4,4
4,3.3,2.7,2.7,4,4,4,4,4,3.7,3.7,2.7,4,3.7,3.3,3.7,3,3,3.7,2.7,3,3.3,3.3,4,3.3,3.7,2.7,2.7,3,4,3.7,2.7,3.3,3.7,3.3,4,3.7,2.7,3.7,4,3.7,3.7,3.3,3.7,3.3,2.7,4,4
2,2.7,3.7,0,1.7,4,0,0,2.7,0,0,0,0,3,2,2.7,1.7,2,3.7,3,2.7,2.7,2.7,4,2,0,3.7,3.7,3.3,3.7,3.3,2.7,2.7,2,4,4,3.3,2.7,1.7,2.7,3.3,3,3.7,3.7,3.3,3,3.7,4
3,3.3,3.3,0,2,4,2.7,3,2.7,2.7,2.7,0,2.7,2.7,0,2.7,2,2.7,0,2,3,2.7,3,3.7,2.7,3,2.7,3,0,2.7,3.3,0,3.7,0,3.7,4,3.3,3,0,3.3,3.7,4,3.7,3.3,3.3,3,3.7,4
4,3.3,1.7,3.7,2.7,3.7,4,3,3.7,3.3,2.7,3.3,3.7,3.7,4,3.7,3,3.3,2,2,3,2.7,2.7,3,4,3.7,2.7,3.7,2.7,2.7,3,0,0,2.7,3,4,3.7,3.7,3.7,4,4,4,3.3,3,0,3,3.3,4
4,4,2.7,0,3,4,4,4,3.3,4,2.7,4,3,4,4,4,4,3.7,2.7,2.7,2.7,3,2.7,3.7,4,4,4,4,2.7,3.7,3.7,3.7,1.7,2.7,4,4,0,1.7,3,3.7,3.3,3.7,4,3.7,3.7,3.3,4,4
3.7,4,2.7,3,2.7,3.7,3,0,2.7,3.7,0,0,2,2.7,2,3.3,3,3.3,4,4,4,4,2.7,4,2.7,2.7,2.7,2.7,0,2.7,3.3,4,3.7,4,4,4,1.7,1.7,2.7,2,2,3.7,2.7,3,2.7,3,3.7,4
2.7,2.7,3.3,0,3.3,4,0,0,4,2.7,0,2.7,0,2.7,0,2,0,2.7,0,2,0,0,0,3.3,0,2,2,0,0,0,0,0,0,0,3.7,4,0,1.7,2.7,0,2.7,3,3.3,3.3,2.7,3,4,3.7
3.3,3.3,4,3.3,2.7,4,3,3.3,4,3.3,2.7,4,3.3,4,2.7,4,2.7,4,0,0,0,0,0,4,3.7,4,4,3,2.7,3.3,0,3,3.7,0,4,4,3.3,3.7,3.7,4,3.7,4,4,4,3.3,4,4,4
4,4,3.7,4,4,4,3.7,4,4,3.7,3,4,4,4,4,4,3.3,4,0,3.3,3,3.3,0,4,4,4,4,3.7,4,4,3.3,4,4,3.7,4,4,4,4,4,4,3.7,4,4,4,3.7,4,4,4
3.7,3,3.3,4,4,4,2.7,0,4,3.3,3.3,3,2.7,3.7,3.7,4,3.7,4,3,4,4,4,3,4,3.7,4,3.7,3.7,2.7,4,3.3,4,3,4,4,4,3.3,2,2.7,0,2,3.7,2.7,3,2.7,3.3,4,3.7
3.3,3,2,3.3,3.7,4,2.7,0,2,0,0,0,0,3.3,0,3,2.7,3.3,3.3,4,4,4,3.3,4,2.7,2,3.3,0,0,3.7,0,2,0,0,4,4,0,1.3,0,2,2.7,3.3,2.7,3.3,3,3.3,3,3.7
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.7,3.3,2.7,3.7,0,4,4,4,4,4,4,4,3.7,4,4,3.7,4,4,4,3.7,4,4,4,4,4,4,4,4,4,4
0,4,3,3.3,3.3,4,0,0,3.3,3.3,0,0,2.7,3.3,4,2.7,3,2.7,4,4,4,4,4,4,3.3,3.3,4,4,4,4,2.7,3.7,4,0,4,4,3,3,3.7,3.7,3.3,4,4,4,4,4,4,4
3,4,3.7,3,4,4,2.7,2.7,3.3,2.7,2.7,0,2.7,3.7,2.7,3.7,3.3,4,2.7,4,3.7,4,3.3,4,0,2.7,3.3,0,3.3,3.3,2.7,2.7,2.7,0,3,4,2,1.7,2.7,2.7,2.7,3.3,3.3,3.7,3,3.7,3.3,4
3.7,3,3.7,3,0,4,2.7,0,0,0,0,0,3,2.7,0,3,2.7,2.7,0,3.7,3.3,3,0,3.7,4,0,0,2.7,3.3,1.7,2.7,3,0,0,4,3.7,2.7,3.3,3.3,3.7,3,4,0,2.7,3.3,3,4,0
3.7,3.3,3,0,2.7,4,3.3,4,0,2.7,3,3.3,2.7,2.7,3,3.7,2.7,3.7,3,0,2,0,0,4,2.7,4,2.7,3.7,3,3.3,2.7,3,2,0,4,4,0,3.7,3,2,3.3,4,3.3,3,3.3,3.7,4,4
0.002997002997,3.999000999,3.997702298,2.9997003,3.9997003,4,2.7002997,0,2.697302697,3.696303696,0,3.299400599,1.701298701,3.998001998,0.002697302697,2.997002997,0,3.999300699,0.002697302697,3.3,3.9997003,2.700999001,2.7002997,4,3.999300699,0.002697302697,2.7002997,2.700999001,2.7002997,2.700599401,2.9997003,2.001298701,3.6996004,2.697302697,3.9997003,3.7002997,2.700599401,0,2.700599401,0.002997002997,2.7,2.001998002,0,2.7,3.000699301,2.697302697,3.7,3.3003996
0.005994005994,3.998001998,3.995404595,2.999400599,3.999400599,4,2.700599401,0,2.694605395,3.692607393,0,3.298801199,1.702597403,3.996003996,0.005394605395,2.994005994,0,3.998601399,0.005394605395,3.3,3.999400599,2.701998002,2.700599401,4,3.998601399,0.005394605395,2.700599401,2.701998002,2.700599401,2.701198801,2.999400599,2.002597403,3.699200799,2.694605395,3.999400599,3.700599401,2.701198801,0,2.701198801,0.005994005994,2.7,2.003996004,0,2.7,3.001398601,2.694605395,3.7,3.300799201
0.008991008991,3.997002997,3.993106893,2.999100899,3.999100899,4,2.700899101,0,2.691908092,3.688911089,0,3.298201798,1.703896104,3.994005994,0.008091908092,2.991008991,0,3.997902098,0.008091908092,3.3,3.999100899,2.702997003,2.700899101,4,3.997902098,0.008091908092,2.700899101,2.702997003,2.700899101,2.701798202,2.999100899,2.003896104,3.698801199,2.691908092,3.999100899,3.700899101,2.701798202,0,2.701798202,0.008991008991,2.7,2.005994006,0,2.7,3.002097902,2.691908092,3.7,3.301198801
0.01198801199,3.996003996,3.990809191,2.998801199,3.998801199,4,2.701198801,0,2.689210789,3.685214785,0,3.297602398,1.705194805,3.992007992,0.01078921079,2.988011988,0,3.997202797,0.01078921079,3.3,3.998801199,2.703996004,2.701198801,4,3.997202797,0.01078921079,2.701198801,2.703996004,2.701198801,2.702397602,2.998801199,2.005194805,3.698401598,2.689210789,3.998801199,3.701198801,2.702397602,0,2.702397602,0.01198801199,2.7,2.007992008,0,2.7,3.002797203,2.689210789,3.7,3.301598402
0.01498501499,3.995004995,3.988511489,2.998501499,3.998501499,4,2.701498501,0,2.686513487,3.681518482,0,3.297002997,1.706493506,3.99000999,0.01348651349,2.985014985,0,3.996503497,0.01348651349,3.3,3.998501499,2.704995005,2.701498501,4,3.996503497,0.01348651349,2.701498501,2.704995005,2.701498501,2.702997003,2.998501499,2.006493506,3.698001998,2.686513487,3.998501499,3.701498501,2.702997003,0,2.702997003,0.01498501499,2.7,2.00999001,0,2.7,3.003496503,2.686513487,3.7,3.301998002
0.01798201798,3.994005994,3.986213786,2.998201798,3.998201798,4,2.701798202,0,2.683816184,3.677822178,0,3.296403596,1.707792208,3.988011988,0.01618381618,2.982017982,0,3.995804196,0.01618381618,3.3,3.998201798,2.705994006,2.701798202,4,3.995804196,0.01618381618,2.701798202,2.705994006,2.701798202,2.703596404,2.998201798,2.007792208,3.697602398,2.683816184,3.998201798,3.701798202,2.703596404,0,2.703596404,0.01798201798,2.7,2.011988012,0,2.7,3.004195804,2.683816184,3.7,3.302397602
0.02097902098,3.993006993,3.983916084,2.997902098,3.997902098,4,2.702097902,0,2.681118881,3.674125874,0,3.295804196,1.709090909,3.986013986,0.01888111888,2.979020979,0,3.995104895,0.01888111888,3.3,3.997902098,2.706993007,2.702097902,4,3.995104895,0.01888111888,2.702097902,2.706993007,2.702097902,2.704195804,2.997902098,2.009090909,3.697202797,2.681118881,3.997902098,3.702097902,2.704195804,0,2.704195804,0.02097902098,2.7,2.013986014,0,2.7,3.004895105,2.681118881,3.7,3.302797203
0.02397602398,3.992007992,3.981618382,2.997602398,3.997602398,4,2.702397602,0,2.678421578,3.67042957,0,3.295204795,1.71038961,3.984015984,0.02157842158,2.976023976,0,3.994405594,0.02157842158,3.3,3.997602398,2.707992008,2.702397602,4,3.994405594,0.02157842158,2.702397602,2.707992008,2.702397602,2.704795205,2.997602398,2.01038961,3.696803197,2.678421578,3.997602398,3.702397602,2.704795205,0,2.704795205,0.02397602398,2.7,2.015984016,0,2.7,3.005594406,2.678421578,3.7,3.303196803
0.02697302697,3.991008991,3.979320679,2.997302697,3.997302697,4,2.702697303,0,2.675724276,3.666733267,0,3.294605395,1.711688312,3.982017982,0.02427572428,2.973026973,0,3.993706294,0.02427572428,3.3,3.997302697,2.708991009,2.702697303,4,3.993706294,0.02427572428,2.702697303,2.708991009,2.702697303,2.705394605,2.997302697,2.011688312,3.696403596,2.675724276,3.997302697,3.702697303,2.705394605,0,2.705394605,0.02697302697,2.7,2.017982018,0,2.7,3.006293706,2.675724276,3.7,3.303596404
0.02997002997,3.99000999,3.977022977,2.997002997,3.997002997,4,2.702997003,0,2.673026973,3.663036963,0,3.294005994,1.712987013,3.98001998,0.02697302697,2.97002997,0,3.993006993,0.02697302697,3.3,3.997002997,2.70999001,2.702997003,4,3.993006993,0.02697302697,2.702997003,2.70999001,2.702997003,2.705994006,2.997002997,2.012987013,3.696003996,2.673026973,3.997002997,3.702997003,2.705994006,0,2.705994006,0.02997002997,2.7,2.01998002,0,2.7,3.006993007,2.673026973,3.7,3.303996004
0.03296703297,3.989010989,3.974725275,2.996703297,3.996703297,4,2.703296703,0,2.67032967,3.659340659,0,3.293406593,1.714285714,3.978021978,0.02967032967,2.967032967,0,3.992307692,0.02967032967,3.3,3.996703297,2.710989011,2.703296703,4,3.992307692,0.02967032967,2.703296703,2.710989011,2.703296703,2.706593407,2.996703297,2.014285714,3.695604396,2.67032967,3.996703297,3.703296703,2.706593407,0,2.706593407,0.03296703297,2.7,2.021978022,0,2.7,3.007692308,2.67032967,3.7,3.304395604
0.03596403596,3.988011988,3.972427572,2.996403596,3.996403596,4,2.703596404,0,2.667632368,3.655644356,0,3.292807193,1.715584416,3.976023976,0.03236763237,2.964035964,0,3.991608392,0.03236763237,3.3,3.996403596,2.711988012,2.703596404,4,3.991608392,0.03236763237,2.703596404,2.711988012,2.703596404,2.707192807,2.996403596,2.015584416,3.695204795,2.667632368,3.996403596,3.703596404,2.707192807,0,2.707192807,0.03596403596,2.7,2.023976024,0,2.7,3.008391608,2.667632368,3.7,3.304795205
0.03896103896,3.987012987,3.97012987,2.996103896,3.996103896,4,2.703896104,0,2.664935065,3.651948052,0,3.292207792,1.716883117,3.974025974,0.03506493506,2.961038961,0,3.990909091,0.03506493506,3.3,3.996103896,2.712987013,2.703896104,4,3.990909091,0.03506493506,2.703896104,2.712987013,2.703896104,2.707792208,2.996103896,2.016883117,3.694805195,2.664935065,3.996103896,3.703896104,2.707792208,0,2.707792208,0.03896103896,2.7,2.025974026,0,2.7,3.009090909,2.664935065,3.7,3.305194805
0.04195804196,3.986013986,3.967832168,2.995804196,3.995804196,4,2.704195804,0,2.662237762,3.648251748,0,3.291608392,1.718181818,3.972027972,0.03776223776,2.958041958,0,3.99020979,0.03776223776,3.3,3.995804196,2.713986014,2.704195804,4,3.99020979,0.03776223776,2.704195804,2.713986014,2.704195804,2.708391608,2.995804196,2.018181818,3.694405594,2.662237762,3.995804196,3.704195804,2.708391608,0,2.708391608,0.04195804196,2.7,2.027972028,0,2.7,3.00979021,2.662237762,3.7,3.305594406
0.04495504496,3.985014985,3.965534466,2.995504496,3.995504496,4,2.704495504,0,2.65954046,3.644555445,0,3.291008991,1.719480519,3.97002997,0.04045954046,2.955044955,0,3.98951049,0.04045954046,3.3,3.995504496,2.714985015,2.704495504,4,3.98951049,0.04045954046,2.704495504,2.714985015,2.704495504,2.708991009,2.995504496,2.019480519,3.694005994,2.65954046,3.995504496,3.704495504,2.708991009,0,2.708991009,0.04495504496,2.7,2.02997003,0,2.7,3.01048951,2.65954046,3.7,3.305994006
0.04795204795,3.984015984,3.963236763,2.995204795,3.995204795,4,2.704795205,0,2.656843157,3.640859141,0,3.29040959,1.720779221,3.968031968,0.04315684316,2.952047952,0,3.988811189,0.04315684316,3.3,3.995204795,2.715984016,2.704795205,4,3.988811189,0.04315684316,2.704795205,2.715984016,2.704795205,2.70959041,2.995204795,2.020779221,3.693606394,2.656843157,3.995204795,3.704795205,2.70959041,0,2.70959041,0.04795204795,2.7,2.031968032,0,2.7,3.011188811,2.656843157,3.7,3.306393606
0.05094905095,3.983016983,3.960939061,2.994905095,3.994905095,4,2.705094905,0,2.654145854,3.637162837,0,3.28981019,1.722077922,3.966033966,0.04585414585,2.949050949,0,3.988111888,0.04585414585,3.3,3.994905095,2.716983017,2.705094905,4,3.988111888,0.04585414585,2.705094905,2.716983017,2.705094905,2.71018981,2.994905095,2.022077922,3.693206793,2.654145854,3.994905095,3.705094905,2.71018981,0,2.71018981,0.05094905095,2.7,2.033966034,0,2.7,3.011888112,2.654145854,3.7,3.306793207
0.05394605395,3.982017982,3.958641359,2.994605395,3.994605395,4,2.705394605,0,2.651448551,3.633466533,0,3.289210789,1.723376623,3.964035964,0.04855144855,2.946053946,0,3.987412587,0.04855144855,3.3,3.994605395,2.717982018,2.705394605,4,3.987412587,0.04855144855,2.705394605,2.717982018,2.705394605,2.710789211,2.994605395,2.023376623,3.692807193,2.651448551,3.994605395,3.705394605,2.710789211,0,2.710789211,0.05394605395,2.7,2.035964036,0,2.7,3.012587413,2.651448551,3.7,3.307192807
